,Title,Latitude,Longitude
0,"Drought is on going in Cambodia, Laos, Myanmar, Thailand, Vietnam",15.841,103.432
1,Drought is on going in Argentina,-30.768,-64.593
2,"Drought is on going in Bolivia, Brazil",-17.181,-53.9
3,"Drought is on going in Malawi, Mozambique",-14.876,37.887
4,"Drought is on going in Belgium, Germany, France, Luxembourg, Netherlands",48.934,4.455
5,"Drought is on going in Lesotho, South Africa",-31.893,24.396
6,Drought is on going in United States,39.047,-104.509
7,Drought is on going in Australia,-28.498,122
8,"Drought is on going in Mexico, United States",30.094,-106.551
9,Green alert for tropical cyclone MARIE-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,13.6,-109.5
10,"Green earthquake alert (Magnitude 5.1M, Depth:10km) in Samoa 29/09/2020 19:01 UTC, About 800 people within 100km.",-15.1406,-174.0591
11,Green alert for tropical cyclone KUJIRA-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,38,158.2
12,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in Indonesia 29/09/2020 17:55 UTC, 490000 people within 100km.",-9.6271,119.0339
13,"Green earthquake alert (Magnitude 3.9M, Depth:11km) in Puerto Rico 29/09/2020 13:29 UTC, 1730000 people within 100km.",17.9475,-67.0695
14,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Australia 29/09/2020 12:11 UTC, About 24000 people within 100km.",-21.0339,117.1499
15,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in Antarctica 29/09/2020 11:34 UTC, No people within 100km.",-62.4579,-58.4645
16,"Green earthquake alert (Magnitude 4.5M, Depth:485.86km) in [unknown] 29/09/2020 08:34 UTC, No people within 100km.",-24.8812,-179.976
17,"Green earthquake alert (Magnitude 4.5M, Depth:35km) in El Salvador 29/09/2020 06:44 UTC, About 5000 people within 100km.",12.3422,-88.7585
18,"Green earthquake alert (Magnitude 5M, Depth:84.66km) in [unknown] 29/09/2020 04:38 UTC, No people within 100km.",22.1354,144.2859
19,"Green earthquake alert (Magnitude 4.7M, Depth:10km) in Islamic Republic of Iran 29/09/2020 04:08 UTC, 1210000 people within 100km.",31.3319,51.0135
20,"Green earthquake alert (Magnitude 4.7M, Depth:10km) in Svalbard and Jan Mayen 29/09/2020 03:10 UTC, No people within 100km.",79.0862,2.6413
21,"Green earthquake alert (Magnitude 4.9M, Depth:13.6km) in China 29/09/2020 01:14 UTC, 3770000 people within 100km.",22.423,121.1324
22,"Green earthquake alert (Magnitude 5.1M, Depth:10km) in Guam 29/09/2020 01:03 UTC, No people within 100km.",13.4008,145.873
23,"Green earthquake alert (Magnitude 5.2M, Depth:10km) in South Of Kermadec Islands 29/09/2020 00:17 UTC, No people within 100km.",-33.5653,-177.8772
24,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Mexico 28/09/2020 23:27 UTC, 750000 people within 100km.",16.1614,-97.716
